t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z
4.068215393280228,11.62206615535116,13.75140507139474,0,1,0,0,0,2.167599628267745,0.6693463423096671,0,0,0,0,1.06,-0.6756331641668125,0
4.078211008497133,11.64378560071112,13.75806184783966,0,1,0,0,0,2.178194980397664,0.6625929731728757,0,0,0,0,1.06,-0.6756331641668125,0
4.088206623714038,11.66561095313406,13.76465112020526,0,1,0,0,0,2.188790332527583,0.6558396040360842,0,0,0,0,1.06,-0.6756331641668125,0
4.098202238930943,11.68754221261997,13.77117288849156,0,1,0,0,0,2.199385684657503,0.6490862348992927,0,0,0,0,1.06,-0.6756331641668125,0
4.108197854147847,11.70957937916886,13.77762715269855,0,1,0,0,0,2.209981036787421,0.6423328657625019,0,0,0,0,1.06,-0.6756331641668125,0
4.118193469364752,11.73172245278074,13.78401391282623,0,1,0,0,0,2.22057638891734,0.6355794966257104,0,0,0,0,1.06,-0.6756331641668125,0
4.128189084581657,11.75397143345559,13.7903331688746,0,1,0,0,0,2.231171741047259,0.6288261274889191,0,0,0,0,1.06,-0.6756331641668125,0
4.138184699798562,11.77632632119342,13.79658492084366,0,1,0,0,0,2.241767093177179,0.6220727583521276,0,0,0,0,1.06,-0.6756331641668125,0
4.148180315015466,11.79878711599422,13.80276916873341,0,1,0,0,0,2.252362445307097,0.6153193892153368,0,0,0,0,1.06,-0.6756331641668125,0
4.158175930232371,11.82135381785801,13.80888591254385,0,1,0,0,0,2.262957797437016,0.6085660200785454,0,0,0,0,1.06,-0.6756331641668125,0
4.168171545449276,11.84402642678477,13.81493515227499,0,1,0,0,0,2.273553149566935,0.601812650941754,0,0,0,0,1.06,-0.6756331641668125,0
4.178167160666181,11.86680494277452,13.82091688792681,0,1,0,0,0,2.284148501696855,0.5950592818049625,0,0,0,0,1.06,-0.6756331641668125,0
4.188162775883085,11.88968936582724,13.82683111949933,0,1,0,0,0,2.294743853826773,0.5883059126681717,0,0,0,0,1.06,-0.6756331641668125,0
4.19815839109999,11.91267969594294,13.83267784699253,0,1,0,0,0,2.305339205956692,0.5815525435313802,0,0,0,0,1.06,-0.6756331641668125,0
